"name","address","zip","latitude","longitude","hours","remarks"
"Capuano Field (Glen Field)","150 Glen Street, Somerville MA","02145","42.382584","-71.086931","8 AM - 10 PM","Seasonal portapotty"
"Lincoln Field","290 Washington St, Somerville MA","02143","42.378878","-71.098853","8 AM - 10 PM","Seasonal portapotty"
"Hodgkins-Curtin Park","113 Holland St, Somerville MA","02144","42.399370","-71.124718","7 AM - 6 PM","Seasonal portapotty"
"Nuziato Field","4 Putnam St, Somerville MA","02143","42.383227","-71.099043","8 AM - 10 PM","Seasonal portapotty"
"Foss Field","49 Fellsway W, Somerville MA","02145","42.391091","-71.089775","TBD","Seasonal portapotty"
"Trum Field","1 Franey Road, Somerville MA","02415","42.397119","-71.107499","8 AM - 11 PM","Seasonal portapotty"
"Tufts Triangle Field","138 College Ave, Somerville MA","02144","42.404129","-71.117327","TBD","Seasonal portapotty"
"Dilboy Auxiliary","300 Alewife Parkway, Somerville MA","02144","42.407980","-71.132304","TBD","Seasonal portapotty"
"Corbett McKenna Park","35 Munroe St, Somerville MA","02143","42.381109","-71.092531","TBD","Seasonal portapotty"
"Florence Playground","13 Florence St, Somerville MA","02145","42.382307","-71.082998","8 AM - 10 PM","Seasonal portapotty"
"Osgood Playground","6 Osgood St, Somerville MA","02143","42.383358","-71.102380","TBD","Seasonal portapotty"
"Albion Park","108 Albion Street, Somerville MA","02144","42.391641","-71.108100","TBD","Seasonal portapotty"
"Fire Station Headquarters","266 Broadway, Somerville MA","02145","42.390846","-71.091237","24/7",""
"Somerville Fire Department","265 Highland Ave, Somerville MA","02143","42.391681","-71.110834","24/7",""
"Somerville Police Department","255 Somerville Ave, Somerville MA","02143","42.378902","-71.092559","24/7",""
"Somerville Fire Department","651 Somerville Ave, Somerville MA","02143","42.384665","-71.111334","24/7",""
"Somerville Fire Department, Engine 6 & Ladder 3","238 Holland St, Somerville MA","02215","42.402546","-71.126962","24/7",""
"Public Safety Building","220 Washington St, Somerville MA","02143","42.379032","-71.092388","TBD",""
"Somerville City Hall","93 Highland Ave, Somerville MA","02143","42.387194","-71.098162","Monday - Wednesday: 8:30 AM - 4:30 PM\r\nThursday: 8:30 AM - 7:30 PM\r\nFriday: 8:30 AM - 12:30 PM",""
"Somerville City Hall Annex Building","50 Evergreen Ave, Somerville MA","02145","42.391786","-71.097246","TBD",""
"Somerville Public Library - Central Library","79 Highland Ave, Somerville MA","02143","42.385788","-71.094405","Monday - Friday: 9:00 AM - 6:00 PM\r\nSaturday: 9:00 AM - 5:00 PM\r\nSunday: Closed",""
"Somerville Public Library - East Branch","115 Broadway, Somerville MA","02145","42.387928","-71.083558","Monday - Friday: 9:00 AM - 6:00 PM\r\nSaturday: 9:00 AM - 1:00 PM\r\nSunday: Closed",""
"Somerville Public Library - West Branch","40 College Ave, Somerville MA","02144","42.398148","-71.121714","Monday - Friday: 9:00 AM - 6:00 PM\r\nSaturday: 9:00 AM - 1:00 PM\r\nSunday: Closed",""
"Somerville Police East Station","81 Broadway, Somerville MA","02145","42.387431","-71.081934","24/7",""
"Somerville Police West Station","1114 Broadway, Somerville MA","02144","42.402817","-71.126662","24/7",""
"CHA Windsor Street Health Center","119 Windsor St, Cambridge MA","02139","42.364698","-71.096645","7 a.m. to 9 p.m. weekdays; 9 a.m. to 3 p.m. Saturdays",""
"Rindge Field","114 Pemberton Street, Cambridge MA","02140","42.390739","-71.129539","24/7","Seasonal Portapotty"
"Firehouse, Taylor Square Engine 8","113 Garden Street, Cambridge MA","02138","42.384236","-71.129853","6 AM - 10 PM","Bathrooms are inaccessible when firefighters are out"
"Hoyt Field","10 Montague Street, Cambridge MA","02139","42.362726","-71.112503","7 AM - 8 PM","Seasonal Portapotty"
"Magazine Pool","719 Memorial Drive, Cambridge MA","02139","42.356934","-71.115223","10 AM - 7 PM","Seasonal Summer"
"Firehouse, Inman Square Engine 5","1384 Cambridge St, Cambridge MA","02139","42.373679","-71.101024","6 a.m. to 10 p.m","Bathrooms are inaccessible when firefighters are out"
"CHA Cambridge Hospital Campus","1493 Cambridge St, Cambridge MA","02139","42.375173","-71.104773","6 a.m. to 8 p.m. in the reception area; \r\n24 hours in the emergency room",""
"Cambridge Common","1500 Massachusetts Ave, Cambridge MA","02139","42.364437","-71.102067","24/7",""
"CHA East Cambridge Health Center","163 Gore St, Cambridge MA","02139","42.373121","-71.085365","8 a.m. to 5 p.m. Mondays, Wednesdays and Fridays; 8 a.m. to 8 p.m. Tuesdays and Thursdays",""
"Firehouse, West Cambridge Engine 9","166 Lexington Ave, Cambridge MA","02138","42.380194","-71.141202","6 a.m. to 10 p.m. daily","Bathrooms are inaccessible when firefighters are out"
"Sennott Park","305 Broadway, Cambridge MA","02139","42.369150","-71.100008","6 AM - 10 PM","Seasonal Portapotty"
"Firehouse, South Side Engine 6","176 River St, Cambridge MA","02139","42.363259","-71.110012","6 a.m. to 10 p.m.","Bathrooms are inaccessible when firefighters are out"
"Firehouse, North Cambridge Engine 4","2029 Massachusetts Ave, Cambridge MA","02139","42.368734","-71.109571","6 a.m. to 10 p.m.","Bathrooms are inaccessible when firefighters are out"
"CHA Cambridge Family Health North","2067 Massachusetts Ave, Cambridge MA","02139","42.368734","-71.109571","8:30 a.m. to 5 p.m. Mondays, Tuesdays, Thursdays, and Fridays",""
"CHA Cambridge Family Health","237 Hampshire St, Cambridge MA","02139","42.373997","-71.100879","8:30 a.m. to 8 p.m. Mondays; 8:30 a.m. to 5 p.m. Tuesdays through Fridays",""
"Boudreau Branch Library","245 Concord Ave, Cambridge MA","02139","42.383374","-71.132576","10 a.m. to 6 p.m. Monday, Wednesday, and Friday",""
"Walter Sullivan Water Treatment Plant","250 Fresh Pond Pkwy, Cambridge, MA","02138","42.375184","-71.139412","Dawn to dusk","At the rangers station under the clock tower"
"Ahern Field","259 Charles St, Cambridge MA","02139","42.368367","-71.085861","TBD","Seasonal Portapotty"
"Cambridge City Hall Annex","345 Broadway, Cambridge MA","02139","42.370236","-71.103097","8:30 a.m. to 8 p.m. Monday; 8:30 a.m. to 5 p.m. Tuesdays through Thursdays; 8:30 a.m. to 12 p.m. Fridays",""
"Francis J. McCrehan Pool","359 Rindge Ave, Cambridge MA","02139","42.394474","-71.137128","10 a.m. to 7 p.m.","Seasonal summer program"
"Donnelly Field","37 Berkshire St, Cambridge MA","02139","42.369086","-71.091762","8:30 a.m. - 8 p.m. Monday; 8:30 a.m. - 5 p.m. Tuesday, Wednesday, Thursday; 8:30 a.m. - 12 p.m. Friday","Seasonal Portapotty"
"Firehouse, Lafayette Square Engine 2","378 Massachusetts Ave, Cambridge MA","02139","42.362976","-71.100160","6 a.m. to 10 p.m.","Bathrooms are inaccessible when firefighters are out"
"Raymond Field","106 Raymond St, Cambridge, MA","02140","42.386138","-71.127017","24/7","Seasonal Portapotty"
"Danehy Park","99 Sherman St, Cambridge MA","02138","42.388540","-71.132661","24/7","Two seasonal portapotties in the park, and two seasonal bathrooms by the enterance"
"Lombardi Building","831 Massachusetts Ave, Cambridge MA","02139","42.367282","-71.106387","8:30 a.m. to 5 p.m. weekdays and from 6 to 10 p.m. on hearing (?) nights",""
"Firehouse, East Cambridge Engine 3","826 Cambridge St, Cambridge MA","02139","42.372155","-71.090247","6 a.m. to 10 p.m. daily","Bathrooms are inaccessible when firefighters are out"
"Russell Field","82 Clifton St, Cambridge MA","02139","42.396023","-71.136536","","Seasonal"
"Cambridge City Hall","795 Massachusetts Ave, Cambridge MA","02138","42.366859","-71.105962","8:30 a.m. to 8 p.m. Monday; 8:30 a.m. to 5 p.m. Tuesdays through Thursdays; 8:30 a.m. to noon Fridays",""
"Portland Loo","1 Western Ave, Cambridge, MA","02139","42.364437","-71.102067","24/7",""
"Weston Town Hall","11 Town House Rd, Weston, MA","02493","42.369324","-71.298849","Weekdays: 8:30AM-5PM\r\nWeekends: Closed",""
"Weston Public Library","87 School St, Weston, MA","02493","42.362099","-71.294638","Mon-Thurs: 9AM-9PM\r\nFriday: 9AM-6PM\r\nSaturday: 10AM-5PM\r\nSunday: 12PM-5PM",""
"Weston Police Department","180 Boston Post Rd Bypass, Weston, MA","02493","42.363562","-71.307103","24/7",""
"Weston Fire Department","394 Boston Post Rd, Weston, MA","02493","42.367105","-71.300031","24/7",""
"Wayland Town Hall","41 Cochituate Road, Wayland, MA","01778","42.361369","-71.361341","Monday: 8:00 am to 7:00 pm\r\nTuesday - Thursday: 8:00 am to 4:00 pm\r\nFriday: 8:00 am to 12:30 pm",""
"Wayland Free Public Library","5 Concord Road Wayland, MA","01778","42.365153","-71.360895","Monday – Thursday 9 a.m. – 9 p.m.\r\nFriday 9 a.m. – 6 p.m.\r\nSaturdays 10 a.m. – 5 p.m.\r\nSundays 2 p.m. – 5 p.m.","https://waylandlibrary.org/aboutus/about-wpl/location-hours/\r\n\r\nuse the above link for more details about holiday closures"
"Boston Fire Department District 11 Engine 29 and Ladder 11","138 Chestnut Hill Ave, Boston, MA","02135","42.342701","-71.153445","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathroom\r\nDon't need to use stairs to enter building or bathroom"
"Boston Fire Department District 11 Engine 51","425 Faneuil St, Brighton, MA","02135","42.351334","-71.168186","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathroom\r\nDon't need to use stairs to enter building or bathroom"
"Boston Public Library - Brighton","40 Academy Hill Rd, Brighton, MA","02135","42.347559","-71.152718","Monday: 12 P.M. – 8 P.M.\r\nTuesday, Wednesday: 10 A.M. – 6 P.M.\r\nThursday: 12 P.M. – 8 P.M.\r\nFriday, Saturday: 9 A.M. – 5 P.M.\r\nSunday: Closed","Wheelchair-accessible stalls\r\nTwo gender-specific bathrooms (one male, one female)\r\nBoth bathrooms are family-friendly (they have changing tables)\r\nDon't need to use stairs to enter building or bathroom"
"Boston Police Department District D-14","301 Washington St, Boston, MA","02135","42.349361","-71.150590","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathroom\r\nDon't need to use stairs to enter the building or bathroom"
